Fecha,Concepto,Cantidad,Tipo
1900-01-03,Ocio - Comedor,21.0,Gasto
1930-04-01,Ocio - Cerveza,9.0,Gasto
2021-01-01,Ocio - Restaurantes,7.0,Gasto
2021-01-01,Transporte,40.0,Gasto
2021-01-01,Plataformas - Spotify,3.0,Gasto
2021-01-01,Plataformas - Twich,5.0,Gasto
2021-01-01,Plataformas - Playstation,9.0,Gasto
2021-01-08,Transporte,23.0,Gasto
2021-01-09,Compras - Ropa y calzado,45.0,Gasto
2021-01-10,Compras - Cultura,76.0,Gasto
2021-01-12,Móvil - Móvil,20.0,Gasto
2021-01-13,Nómina,2075.0,Ingreso
2021-01-14,Xapa't,28.0,Ingreso
2021-01-15,Regalo/otro,50.0,Ingreso
2021-01-16,Transporte,10.0,Gasto
2021-01-17,Ocio - Compra,20.0,Gasto
2021-02-01,Plataformas - Twich,5.0,Gasto
2021-02-02,Ocio - Restaurantes,22.0,Gasto
2021-02-02,Nómina,2034.0,Ingreso
2021-02-02,Ocio - Compra,6.0,Gasto
2021-02-02,Ocio - Compra,9.0,Gasto
2021-02-02,Plataformas - Spotify,3.0,Gasto
2021-02-02,Móvil - Móvil,20.0,Gasto
2021-02-02,Compras - Otros,6.0,Gasto
2021-02-13,Compras - Otros,9.0,Gasto
2021-02-13,Transporte,13.0,Gasto
2021-02-16,Plataformas - Playstation,9.0,Gasto
2021-02-23,Xapa't,26.0,Ingreso
2021-03-01,Móvil - Móvil,20.0,Gasto
2021-03-03,Transporte,13.0,Gasto
2021-03-03,Compras - Otros,30.0,Gasto
2021-03-10,Xapa't,26.0,Ingreso
2021-03-14,Plataformas - Twich,5.0,Gasto
2021-03-14,Plataformas - Spotify,3.0,Gasto
2021-03-16,Plataformas - Playstation,9.0,Gasto
2021-03-17,Viajes - Viajes,100.0,Gasto
2021-03-27,Compras - Regalos,5.0,Gasto
2021-03-28,Ocio - Restaurantes,18.0,Gasto
2021-03-31,Nómina,2034.0,Ingreso
2021-04-01,Plataformas - Spotify,3.0,Gasto
2021-04-01,Plataformas - Playstation,9.0,Gasto
2021-04-01,Móvil - Móvil,20.0,Gasto
