Fecha,Concepto,Cantidad,Tipo
1973-12-17,Ocio - Restaurantes,24.0,Gasto
2022-01-03,Xapa't,14.0,Ingreso
2022-01-03,Móvil - Móvil,20.0,Gasto
2022-01-03,Ocio - Restaurantes,20.0,Gasto
2022-01-03,Transporte,16.0,Gasto
2022-01-09,Compras - Ropa y calzado,60.0,Gasto
2022-01-09,Formación - Oposiciones,220.0,Gasto
2022-01-09,Formación - Música,20.0,Gasto
2022-01-10,Ventas,20.0,Ingreso
2022-01-14,Compras - Tecnología,13.0,Gasto
2022-01-21,Xapa't,8.0,Ingreso
2022-01-24,Viajes - Viajes,90.0,Gasto
2022-01-28,Nómina,3913.0,Ingreso
2022-02-01,Formación - Oposiciones,50.0,Gasto
2022-02-04,Formación - Música,40.0,Gasto
2022-02-04,Móvil - Móvil,20.0,Gasto
2022-02-04,Formación - Oposiciones,180.0,Gasto
2022-02-09,Transporte,80.0,Gasto
2022-02-09,Plataformas - Otras,18.0,Gasto
2022-02-11,Xapa't,50.0,Ingreso
2022-02-15,Viajes - Viajes,50.0,Gasto
2022-02-20,Compras - Otros,90.0,Gasto
2022-02-20,Ocio - Restaurantes,17.0,Gasto
2022-02-20,Ocio - Restaurantes,12.5,Gasto
2022-02-24,Transporte,16.0,Gasto
2022-02-24,Ocio - Restaurantes,7.0,Gasto
2022-02-24,Nómina,1817.0,Ingreso
2022-02-28,Ocio - Restaurantes,23.0,Gasto
2022-03-01,Móvil - Móvil,20.0,Gasto
2022-03-01,Plataformas - Otras,2.0,Gasto
2022-03-01,Formación - Música,30.0,Gasto
2022-03-01,Formación - Oposiciones,180.0,Gasto
2022-03-05,Regalo/otro,38.0,Gasto
2022-03-05,Compras - Otros,50.0,Gasto
2022-03-19,Ocio - Restaurantes,60.0,Gasto
2022-03-19,Xapa't,95.0,Ingreso
2022-03-27,Viajes - Viajes,100.0,Gasto
2022-03-27,Xapa't,113.0,Ingreso
2022-03-29,Transporte,18.0,Gasto
2022-03-30,Nómina,1000.0,Ingreso
2022-04-01,Formación - Oposiciones,180.0,Gasto
2022-04-01,Formación - Música,30.0,Gasto
2022-04-01,Móvil - Móvil,20.0,Gasto
2022-04-03,Ocio - Restaurantes,30.0,Gasto
2022-04-03,Ocio - Restaurantes,7.5,Gasto
2022-04-10,Ocio - Cerveza,10.0,Gasto
2022-04-10,Ocio - Restaurantes,40.0,Gasto
2022-04-14,Ocio - Restaurantes,40.0,Gasto
2022-04-17,Regalo/otro,50.0,Ingreso
2022-04-17,Ocio - Restaurantes,30.0,Gasto
2022-04-25,Ocio - Restaurantes,22.0,Gasto
2022-04-25,Ocio - Restaurantes,4.0,Gasto
2022-04-25,Ocio - Restaurantes,7.0,Gasto
2022-04-28,Transporte,16.0,Gasto
2022-04-28,Nómina,2093.0,Ingreso
2022-05-01,Ocio - Restaurantes,7.0,Gasto
2022-05-01,Compras - Otros,150.0,Gasto
2022-05-01,Formación - Oposiciones,180.0,Gasto
2022-05-01,Móvil - Móvil,20.0,Gasto
2022-05-01,Formación - Música,40.0,Gasto
2022-05-02,Ocio - Restaurantes,22.0,Gasto
2022-05-07,Ocio - Restaurantes,6.0,Gasto
2022-05-15,Ocio - Restaurantes,20.0,Gasto
2022-05-16,Ocio - Cerveza,5.0,Gasto
2022-05-17,Xapa't,113.0,Ingreso
2022-05-22,Ocio - Restaurantes,40.0,Gasto
2022-05-22,Xapa't,37.0,Ingreso
2022-05-26,Regalo/otro,20.0,Gasto
2022-05-26,Ocio - Restaurantes,33.0,Gasto
2022-05-26,Transporte,17.0,Gasto
2022-05-26,Ocio - Restaurantes,10.0,Gasto
2022-05-27,Nómina,2207.0,Ingreso
2022-06-04,Ocio - Restaurantes,22.0,Gasto
2022-06-04,Plataformas - Otras,2.0,Gasto
2022-06-04,Móvil,20.0,Gasto
2022-06-04,Transporte,143.0,Gasto
2022-06-04,Regalo/otro,5.0,Gasto
2022-06-10,Renta,1106.0,Gasto
2022-06-13,Ocio - Restaurantes,22.0,Gasto
2022-06-13,Formación - Música,40.0,Gasto
2022-06-22,Ocio - Restaurantes,68.0,Gasto
2022-06-24,Compras - Tecnología,60.0,Gasto
2022-06-26,Ocio - Restaurantes,17.0,Gasto
2022-06-27,Transporte,70.0,Gasto
2022-06-28,Xapa't,103.0,Ingreso
2022-06-29,Nómina,2262.0,Ingreso
2022-06-30,Nómina,431.0,Ingreso
2022-07-01,Formación - Música,20.0,Gasto
2022-07-01,Plataformas - Otras,2.0,Gasto
2022-07-01,Móvil - Móvil,20.0,Gasto
2022-07-04,Ocio - Restaurantes,10.0,Gasto
2022-07-05,Xapa't,110.0,Ingreso
2022-07-07,Transporte,24.74,Gasto
2022-07-11,Ocio,25.0,Gasto
2022-07-18,Ocio,5.0,Gasto
2022-07-22,Xapa't,30.0,Ingreso
2022-07-23,Compras - Ropa y calzado,130.0,Gasto
2022-07-29,Nómina,1460.0,Ingreso
2022-07-31,Nómina,924.0,Ingreso
2022-08-01,Hogar - Hipoteca,209.0,Gasto
2022-08-01,Hogar - Seguro hogar,27.0,Gasto
2022-08-01,Hogar - Seguro vida,18.0,Gasto
2022-08-01,Móvil,20.0,Gasto
2022-08-01,Plataformas,2.0,Gasto
2022-08-02,Ocio,17.0,Gasto
2022-08-15,Xapa't,135.0,Ingreso
2022-08-15,Regalo/otro,50.0,Ingreso
2022-08-15,Viajes - Viajes,500.0,Gasto
2022-08-15,Xapa't,82.0,Ingreso
2022-08-19,Ocio - Restaurantes,14.0,Gasto
2022-08-31,Nómina,924.0,Ingreso
2022-09-01,Hogar - Seguro hogar,27.0,Gasto
2022-09-01,Hogar - Seguro vida,18.0,Gasto
2022-09-01,Hogar - Hipoteca,209.0,Gasto
2022-09-05,Compras - Tecnología,650.0,Gasto
2022-09-05,Plataformas - Otras,2.0,Gasto
2022-09-05,Ocio - Restaurantes,30.0,Gasto
2022-09-05,Móvil - Móvil,20.0,Gasto
2022-09-06,Xapa't,203.0,Ingreso
2022-09-08,Ocio - Restaurantes,12.0,Gasto
2022-09-09,Plataformas - Playstation,60.0,Gasto
2022-09-09,Compras - Tecnología,80.0,Gasto
2022-09-10,Ocio - Restaurantes,14.5,Gasto
2022-09-20,Transporte,17.0,Gasto
2022-09-20,Ocio - Restaurantes,7.0,Gasto
2022-09-21,Xapa't,82.0,Ingreso
2022-09-21,Xapa't,51.0,Ingreso
2022-09-21,Regalo/otro,100.0,Gasto
2022-09-25,Ocio - Restaurantes,248.0,Gasto
2022-09-27,Ventas,170.0,Ingreso
2022-09-30,Nómina,927.0,Ingreso
2022-10-01,Hogar - Cuenta,200.0,Gasto
2022-10-01,Hogar - Seguro vida,18.0,Gasto
2022-10-01,Hogar - Seguro hogar,27.0,Gasto
2022-10-01,Hogar - Hipoteca,209.0,Gasto
2022-10-04,Formación - Oposiciones,44.0,Gasto
2022-10-04,Xapa't,1.0,Ingreso
2022-10-11,Deporte - Deporte,28.0,Gasto
2022-10-11,Ocio - Restaurantes,14.0,Gasto
2022-10-12,Ocio - Restaurantes,25.0,Gasto
2022-10-22,Ocio - Restaurantes,10.0,Gasto
2022-10-25,Compras - Otros,70.0,Gasto
2022-10-25,Compras - Tecnología,30.0,Gasto
2022-10-25,Compras - Ropa y calzado,445.0,Gasto
2022-10-28,Compras - Ropa y calzado,64.0,Gasto
2022-10-29,Nómina,924.0,Ingreso
2022-10-29,Ocio - Restaurantes,18.0,Gasto
2022-11-01,Deporte - Deporte,28.0,Gasto
2022-11-01,Regalo/otro,200.0,Gasto
2022-11-01,Hogar - Hipoteca,209.0,Gasto
2022-11-01,Hogar - Cuenta,200.0,Gasto
2022-11-01,Hogar - Seguro hogar,27.0,Gasto
2022-11-01,Hogar - Seguro vida,18.0,Gasto
2022-11-05,Compras - Tecnología,300.0,Gasto
2022-11-10,Regalo/otro,44.0,Ingreso
2022-11-15,Transporte,17.0,Gasto
2022-11-25,Compras - Ropa y calzado,40.0,Gasto
2022-11-25,Compras - Tecnología,58.0,Gasto
2022-11-30,Nómina,924.0,Ingreso
2022-12-01,Ocio - Restaurantes,5.0,Gasto
2022-12-01,Deporte - Deporte,28.0,Gasto
2022-12-01,Hogar - Seguro hogar,27.0,Gasto
2022-12-01,Hogar - Hipoteca,209.0,Gasto
2022-12-01,Hogar - Seguro vida,18.0,Gasto
2022-12-01,Hogar - Cuenta,200.0,Gasto
2022-12-10,Compras - Otros,8.0,Gasto
2022-12-19,Ocio - Restaurantes,24.0,Gasto
2022-12-23,Ocio - Restaurantes,40.0,Gasto
2022-12-24,Nómina,140.0,Ingreso
2023-12-30,Ocio - Restaurantes,20.0,Gasto
2023-12-31,Nómina,924.0,Ingreso
